4	1
7	2
9	2
10	5
11	14
12	10
13	10
14	14
15	20
16	19
17	9
18	10
19	10
20	15
21	14
22	10
23	10
24	16
25	12
26	13
27	15
28	12
29	12
30	18
31	3
32	9
33	5
34	11
35	13
36	6
37	10
38	8
39	6
40	9
41	11
42	9
43	8
44	8
45	5
46	9
47	4
48	9
49	10
50	4
51	3
52	7
53	10
54	5
55	2
56	6
57	3
58	3
59	4
60	3
61	2
62	3
63	1
65	4
66	3
67	3
68	4
69	6
70	4
71	1
72	3
73	1
75	3
77	2
78	3
79	3
80	1
81	2
82	2
83	1
85	2
87	3
88	1
89	2
90	2
91	1
93	2
94	1
96	1
97	2
101	2
104	1
105	1
108	2
110	1
115	2
116	1
119	1
125	2
131	2
135	1
139	1
140	1
154	1
162	1
168	1
176	1
201	1
213	1
215	2
222	1
227	1
230	1
239	1
255	1
275	1
288	1
296	1
525	1
1308	1
1748	1
2039	1
2063	1
