maybe	26
life	24
ideas	24
feel	24
tried	24
wrong	23
needs	23
correct	22
didn	22
recently	22
graphic	22
suggestions	22
exactly	22
apr	22
personally	22
rumours	21
wondering	21
knows	21
services	21
long	21
description	21
recommend	21
human	20
man	20
sort	20
26	20
short	20
comes	20
define	20
hard	20
interest	20
low	20
times	19
significance	19
appreciate	19
386	19
pascal	19
solution	19
within	19
due	19
believe	19
almost	19
libraries	19
pl9	19
comments	19
top	19
modes	19
company	18
interesting	18
philosophical	18
disclaimer	18
north	18
200	18
drive	18
mean	18
ram	18
release	18
tdawson	18
opinions	18
pd	17
sciences	17
words	17
ago	17
couple	17
whether	17
1993apr19	17
fact	17
everything	17
pl8	17
33	17
seem	17
looks	17
simply	17
bitnet	17
helps	17
thus	17
forum	17
future	17
media	17
motion	17
dr	17
important	17
explain	17
allow	17
basic	17
herringshaw	17
test	17
31	17
asked	17
necessarily	17
happy	17
whatever	17
regards	17
41	17
ontario	17
rgb	17
illinois	17
along	16
although	16
mind	16
processor	16
rate	16
deal	16
home	16
nova	16
takes	16
corp	16
further	16
thought	16
computers	16
nothing	16
price	16
sci	16
gives	16
paper	16
fairly	16
keep	16
determine	16
35	16
corporation	16
turn	16
once	16
offer	16
cannot	16
specific	16
sent	16
require	16
supposedly	16
learn	16
haven	16
studio	16
texas	16
28	15
whole	15
defined	15
won	15
poster	15
thanx	15
location	15
always	15
486	15
bug	15
bugs	15
checked	15
edward	15
below	15
york	15
title	15
looked	15
originator	15
adobe	15
april	15
date	15
later	15
netters	15
myself	15
os	15
otherwise	15
design	15
add	15
unfortunately	15
gmt	15
proposed	15
products	15
perhaps	15
articles	15
germany	15
common	15
main	15
math	14
displaying	14
monitor	14
station	14
took	14
against	14
dave	14
fill	14
depth	14
months	14
trouble	14
came	14
makes	14
geometric	14
tom	14
ie	14
van	14
local	14
anyway	14
international	14
labs	14
multimedia	14
oak	14
created	14
hear	14
major	14
parallel	14
easier	14
particular	14
manual	14
removal	14
shading	14
move	14
29	14
changes	14
easily	14
types	14
four	14
numbers	14
especially	14
required	14
surfaces	14
helpful	14
favor	14
concerning	14
curious	14
posts	14
bmp	14
idea	14
pages	14
included	14
higher	14
again	14
tga	13
unit	13
utility	13
curve	13
inside	13
64	13
al	13
plus	13
ps	13
across	13
wuarchive	13
angeles	13
los	13
acm	13
39	13
allen	13
certainly	13
load	13
finally	13
curves	13
ny	13
references	13
views	13
vnet	13
san	13
put	13
richard	13
converter	13
down	13
instead	13
less	13
stupid	13
expect	13
mentioned	13
love	13
guess	13
hand	13
laboratory	13
parameters	13
structure	13
generated	13
5000	13
leave	13
sets	13
upon	13
choice	13
command	13
says	13
voice	13
online	13
centre	13
isn	13
discussing	13
platform	13
oh	13
supported	13
compiled	13
daemon	13
often	13
workstation	13
boxes	13
port	13
matter	13
released	13
directly	13
92	13
limited	13
agree	13
slow	13
area	12
gray	12
colour	12
showing	12
cpu	12
game	12
bottom	12
pointers	12
everyone	12
technique	12
designed	12
goes	12
bytes	12
44	12
direction	12
palette	12
purpose	12
white	12
cheap	12
client	12
street	12
starting	12
geometry	12
cso	12
until	12
binary	12
capabilities	12
pro	12
rahul	12
sound	12
quick	12
distance	12
excellent	12
mouse	12
saw	12
early	12
intersection	12
possibly	12
building	12
control	12
recommendations	12
generate	12
oz	12
replies	12
western	12
complicated	12
ever	12
ready	12
alone	12
regular	12
power	12
awful	12
convenience	12
wate	12
experience	12
shelley	12
v1	12
plain	12
compatible	12
places	12
techniques	12
chicago	12
issues	12
obtain	12
previous	12
market	12
city	11
response	11
bezier	11
mapping	11
friend	11
spot	11
talking	11
stephen	11
share	11
34	11
spec	11
usually	11
guide	11
1989	11
cross	11
vector	11
povray	11
texture	11
iff	11
room	11
brian	11
wouldn	11
fitting	11
smith	11
provided	11
sprites	11
started	11
berkeley	11
fractals	11
diamond	11
bryan	11
fr	11
gifs	11
remember	11
odd	11
soon	11
frames	11
manager	11
knowledge	11
converts	11
resulting	11
ways	11
nearly	11
carpenter	11
shape	11
alt	11
modeling	11
basically	11
extension	11
respond	11
responsible	11
understanding	11
65	11
addresses	11
present	11
reads	11
devices	11
implementation	11
normal	11
specifically	11
vision	11
literature	11
cost	11
vertices	11
boeing	11
1992	11
000	11
creating	11
except	11
header	11
v2	11
figure	11
none	11
opinion	11
scott	11
final	11
motorola	11
consider	11
electronic	11
temp	11
background	10
somewhere	10
eng	10
linear	10
kenneth	10
et	10
rom	10
caspian	10
southern	10
yeh	10
zhenghao	10
zyeh	10
editor	10
serious	10
amount	10
mine	10
minutes	10
options	10
pp	10
graphical	10
fractal	10
simon	10
okay	10
1993apr15	10
ltd	10
motif	10
west	10
bus	10
play	10
gems	10
loss	10
print	10
reason	10
issue	10
320x200x256	10
exists	10
error	10
150	10
61	10
lee	10
contains	10
truly	10
notice	10
kevin	10
ok	10
rene	10
situation	10
unless	10
approach	10
besides	10
contain	10
difficult	10
eric	10
outputs	10
outside	10
papers	10
piece	10
raytracing	10
recent	10
bob	10
enjoy	10
tasks	10
complex	10
highly	10
jpg	10
show	10
cause	10
names	10
taking	10
money	10
division	10
49	10
development	10
grant	10
management	10
render	10
wireframe	10
srvr1	10
stand	10
costs	10
switzerland	10
640x480	10
capture	10
welcome	10
claim	10
01	10
charles	10
bcstec	10
ones	10
3ds	10
stored	10
fortran	10
su	10
192	10
60	10
byte	10
compile	10
iris	10
jim	10
medical	10
microsoft	10
reasonable	10
series	10
suggest	10
together	10
variety	10
worth	10
converted	10
results	10
step	10
today	10
320	10
advice	10
workshop	10
near	10
hands	10
individual	9
certain	9
hall	9
mike	9
vr	9
clock	9
compact	9
flat	9
mhz	9
movies	9
williams	9
fonts	9
scenes	9
traced	9
ohio	9
professional	9
student	9
effort	9
specification	9
ken	9
july	9
represents	9
tony	9
diego	9
ames	9
watson	9
class	9
movie	9
added	9
uunet	9
informatik	9
become	9
companies	9
lots	9
bolson	9
boy	9
carson	9
seattle	9
38	9
advantage	9
netherlands	9
ma	9
75	9
hernandez	9
magazine	9
muchado	9
rchland	9
jeff	9
left	9
readers	9
direct	9
build	9
base	9
equipment	9
thinking	9
creates	9
entire	9
suspect	9
floppy	9
regarding	9
ee	9
isbn	9
newsgroups	9
permission	9
press	9
arbitrary	9
eye	9
implemented	9
md	9
mirrors	9
nor	9
responses	9
word	9
300	9
turbo	9
vs	9
ascii	9
spend	9
csd	9
extended	9
located	9
moment	9
04	9
presentations	9
progress	9
received	9
architecture	9
morphing	9
sounds	9
sys	9
suite	9
exact	9
51	9
edit	9
addition	9
na	9
usual	9
finding	9
wa	9
methods	9
collection	9
ann	9
arbor	9
michigan	9
models	9
super	9
70	9
luck	9
close	9
quadra	9
road	9
tamu	9
x11	9
415	9
advanced	9
andrew	9
